title,author,description,genres,ratings,number of ratings,number of reviews,5 star,4 star,3 star,2 star,1 star
The Alaska Job,Vince Milam,"Case Lee embarks on an adrenaline-fueled quest filled with ancient secrets and lethal adversaries as he follows an age-old treasure trail packed with mystery.Tasked with recovering a fabled billion-dollar hoard, Case becomes entangled in a web of espionage, assassins, and ruthless competitors. As he follows the trail of clues etched in long-ago history, danger lurks at every turn. From encounters with enigmatic Buddhist monks to unearthing secrets held by long-forgotten Russian fur traders, Case's journey evolves into a race against time and a battle for survival. Spies and brutal treasure hunters are hot on his trail, creating a combustible mix of shadowy intentions and insatiable greed.Case must rely on his instincts and experience to navigate a world where every step could be his last. To even the odds, Case calls on his former teammates, unleashing their special skills in a high-stakes race against time. Brace yourself for a white-knuckle ride through Korea, windswept arctic islands, and Alaska's untamed wilderness as Case is pushed to the brink. Twists and turns and non-stop action hallmark this globe-trotting mystery thriller—the twelfth stand-alone novel from Best-Selling author Vince Milam.",[],4.47,"1,392 ratings",51 reviews,847,379,146,15,5
Wolf's Head,Steven A. McKay,"When a frightened young outlaw joins a gang of violent criminals their names – against a backdrop of death, dishonour, brotherhood, and love – will become legend.ENGLAND 1321 ADAfter viciously assaulting a corrupt but powerful clergyman Robin Hood flees the only home he has ever known in Wakefield, Yorkshire. Becoming a member of a notorious band of outlaws, Hood and his new companions – including John Little and Will Scaflock – hide out in the great forests of Barnsdale, fighting for their very existence as the law hunts them down like animals. When they are betrayed, and their harsh lives become even more unbearable, the band of friends seeks bloody vengeance. Meanwhile, the country is in turmoil, as many of the powerful lords strive to undermine King Edward II’s rule until, inevitably, rebellion becomes a reality and the increasingly deadly yeoman outlaw from Wakefield finds his fate bound up with that of a Hospitaller Knight…""Wolf’s Head"" brings the brutality, injustice and intensity of life in medieval England vividly to life, and marks the beginning of a thrilling new historical fiction series in the style of Bernard Cornwell and Simon Scarrow.","['Historical Fiction', 'Fantasy', 'Fiction', 'Historical', 'Adventure', 'Medieval', 'Retellings', 'Action', '14th Century', 'British Literature']",4.01,"2,451 ratings",224 reviews,895,902,485,122,47
Lunar Park,Bret Easton Ellis,"Bret Ellis, the narrator of Lunar Park, is a writer whose first novel Less Than Zero catapulted him to international stardom while he was still in college. In the years that followed, he found himself adrift in a world of wealth, drugs, and fame, as well as dealing with the unexpected death of his abusive father. After a decade of decadence, a chance for salvation arrives; the chance to reconnect with an actress he was once involved with, and their son. But almost immediately his new life is threatened by a freak sequence of events and a bizarre series of murders that all seem to connect to Ellis’s past.Reality, memoir, and fantasy combine to create not only a fascinating version of this most controversial writer but also a deeply moving novel about love and loss, parents and children, and ultimately forgiveness.","['Fiction', 'Horror', 'Thriller', 'Mystery', 'Contemporary', 'Novels', 'American', 'Literature', 'Suspense', 'Dark']",3.64,"28,524 ratings","1,265 reviews","6,869","9,768","7,834","2,969","1,084"
Twisted Doubles,Joanie Pariera,"TWISTED DOUBLESCHILLINGLY CRIMINAL…A young, seemingly guileless millionaire businessman, an unsuspecting, progressive, middle-class woman who meets and falls in love with him, a tortured ex-cop who gets entangled in their tragic love story, and a hardworking reporter with a never-say-die attitude - these are just some of the characters in this suspense-filled love story about what it means to hold on to everything that makes you, you.‘Twisted Doubles’ is not just a story about double trouble. It examines human identity as it is defined for us by everyone else. It journeys through the identity trail as set by any bureaucracy, from birth to death and beyond. It explores the irony in trying to walk the legal path, whether tested, proposed, or new, in a world where humans increasingly find themselves reduced to any single thing that identifies them where it matters most.Set in India, with the South Asian Tsunami of 2004 as a backdrop, ‘Twisted Doubles’ is a story of identity crises that will enthrall just as much as it will make you weep.When Anjali Aiyer wakes up in a strange place, drugged and beaten up the day of her wedding, she is devastated. Her trauma takes an absurd turn when she finally makes it back to her hometown and is greeted by doors shutting in her face and a family that is convinced she is an imposter. Heartbroken and alone, Anjali must find her way back to her family, her love, and her life itself.BUT EVERY STEP SHE TAKES, LANDS HER DEEPER IN A VORTEX OF LIES…!",[],4.00,12 ratings,6 reviews,7,2,1,0,2
Blood Brothers,Nora Roberts,"In the town of Hawkins Hollow, it’s called The Seven. Every seven years, on the seventh day of the seventh month, strange things happen. It began when three young boys—Caleb, Fox, and Gage—went on a camping trip to The Pagan Stone...It is only February, but Caleb Hawkins—descendant of the town founders—has already seen and felt the stirrings of evil. Though he can never forget the beginning of the terror in the woods twenty-one years ago, the signs have never been this strong before. Cal will need the help of his best friends Fox and Gage, but surprisingly he must rely on a stranger as well.Reporter Quinn Black came to Hawkins Hollow hoping to make its eerie happenings the subject of her new book. She too can see the evil the locals cannot, somehow connecting her to the town—and to Cal. As winter turns to spring, they will shed their inhibitions, surrendering to a desire that will grow and form the cornerstone of a group of men and women bound by the fight against what is to come from out of the darkness…","['Romance', 'Paranormal', 'Fantasy', 'Paranormal Romance', 'Fiction', 'Mystery', 'Contemporary Romance', 'Horror', 'Contemporary', 'Supernatural']",4.16,"54,003 ratings","1,987 reviews","24,439","17,421",,"2,070",786
Z: A Novel of Zelda Fitzgerald,Therese Anne Fowler,"A dazzling novel that captures all of the romance, glamour, and tragedy of the first flapper, Zelda Fitzgerald.When beautiful, reckless Southern belle Zelda Sayre meets F. Scott Fitzgerald at a country club dance in 1918, she is seventeen years old and he is a young army lieutenant stationed in Alabama. Before long, the ""ungettable"" Zelda has fallen for him despite his unsuitability: Scott isn't wealthy or prominent or even a Southerner, and keeps insisting, absurdly, that his writing will bring him both fortune and fame.Her father is deeply unimpressed. But after Scott sells his first novel, This Side of Paradise, to Scribner's, Zelda optimistically boards a train north, to marry him in the vestry of St. Patrick's Cathedral and take the rest as it comes.","['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Romance', 'Adult', 'Adult Fiction', 'France', 'Novels', 'Book Club']",3.86,"55,298 ratings","5,402 reviews","14,088","24,090","13,449","2,766",905
2005 - Thanks for the Vodka,Harpie,"If you only read one book this year, make it this oneYou won’t find another book like this anywhere elseThere are books that discuss mental illness and there are books that discuss self-harm, but only from a clinical viewpoint; as in what to do if your child is one of these ‘Emo children, making pathetic little cat scratches on their arms and flaunting what they’re doing to the rest of the world.’You may even find a few fiction books, mostly in the Young Adult genre, whereby the hero or heroine cuts themselves due to home or school issues or even peer pressure.But nobody, ever, has had the bravery – until now – to tell it like it really is. Nobody has discussed the deep shame, the reasons behind self-mutilation and how this way of confronting emotional pain, acute anger or resentment is reasoned.It’s not a joke. Neither is mental illness or depression. You wouldn’t say ‘snap out of it’ to somebody with cancer, diabetes or heart disease, so what makes people feel its okay to say the same to those with depression?Previous comments on Harpie’s writing are that she “reveals her innermost thoughts, slashing a metaphoric vein and bleeding onto the page.” And those words were chosen for a reason. Harpie writes with her heart on her sleeve. She is emotionally transparent. Her feelings are as clear as the scars on her arms and legs. But the message here is that there are some scars that are never seen.This book’s not all messed up. It’s a year in the life of a working class hero who’s come to be loved by many of her fans. In ‘2005 – Thanks for the Vodka’ Harpie describes her sexual liaisons, bullying, court dates, her career as a zoo keeper, the NHS and those beautiful people who some regard as mentally unstable. And she does all this with that charming, self-deprecating sense of humour synonymous of her style of writing.As always when Harpie writes, this is a book of raw emotion …. And it bleeds",[],3.88,269 ratings,1 review,102,81,49,25,12
Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,Robert T. Kiyosaki,"Đây là một quyển sách nói về chuyện làm chủ do chính một người làm chủ chấp bút, người từng trải bao thăng trầm, thành công cũng như thất bại trong thế giới thực.Sách cho bạn biết đã đến lúc thích hợp để bạn thôi việc và mở công ty riêng hay chưa, hay giúp bạn xác định kinh doanh có phải là con đường dành cho bạn không; thông qua những kinh nghiệm, lời khuyên hữu ích và bài học thực tế của tác giả.","['Business', 'Finance', 'Entrepreneurship', 'Self Help', 'Nonfiction', 'Personal Finance', 'Money', 'Economics', 'Audiobook', 'Financial Management']",4.12,"3,673 ratings",146 reviews,"1,650","1,110",666,181,66
Book Scavenger,Jennifer Chambliss Bertman,"A hidden book. A found cipher. A game begins . . . .Twelve-year-old Emily is on the move again. Her family is relocating to San Francisco, home of her literary idol: Garrison Griswold, creator of the online sensation Book Scavenger, a game where books are hidden all over the country and clues to find them are revealed through puzzles. But Emily soon learns that Griswold has been attacked and is in a coma, and no one knows anything about the epic new game he had been poised to launch. Then Emily and her new friend James discover an odd book, which they come to believe is from Griswold and leads to a valuable prize. But there are others on the hunt for this book, and Emily and James must race to solve the puzzles Griswold left behind before Griswold's attackers make them their next target.  ","['Middle Grade', 'Mystery', 'Fiction', 'Adventure', 'Childrens', 'Books About Books', 'Young Adult', 'Realistic Fiction', 'Juvenile', 'Audiobook']",4.15,"15,647 ratings","2,151 reviews","6,075","6,484","2,569",388,131
Rama II,Arthur C. Clarke,"Rama est revenu ! Rama, ou plutôt son double, son clone, son jumeau : Rama II. Soixante-dix ans plus tôt, un mystérieux engin extraterrestre traversait brièvement le système solaire, donnant corps à cette fabuleuse révélation : l'homme n'était pas seul dans l'Univers. Et voilà qu'en cette année 2196, le scénario se répète ! Un deuxième vaisseau interstellaire, exactement semblable au précédent, se matérialise dans l'espace... L'humanité, pour la seconde fois de son histoire, envoie une équipe de savants à la rencontre du visiteur. Mission exaltante, bien sûr, mais les intentions des uns et des autres sont-elles aussi nobles qu'elles le paraissent ? Sans oublier celles de l'étranger : pourquoi la nef infléchit-elle brusquement sa course vers la Terre ? Que dissimulent les flancs de Rama II ? Des merveilles... ou un danger mortel ?","['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Aliens', 'Space', 'Novels', 'Fantasy', 'Space Opera', 'Audiobook', 'Speculative Fiction']",3.70,"26,653 ratings",882 reviews,"6,698","9,311","7,440","2,335",869
Harrow the Ninth,Tamsyn Muir,"Harrow the Ninth, the sequel to Gideon the Ninth, turns a galaxy inside out as one necromancer struggles to survive the wreckage of herself aboard the Emperor's haunted space station.She answered the Emperor's call.She arrived with her arts, her wits, and her only friend.In victory, her world has turned to ash.After rocking the cosmos with her deathly debut, Tamsyn Muir continues the story of the penumbral Ninth House in , a mind-twisting puzzle box of mystery, murder, magic, and mayhem. Nothing is as it seems in the halls of the Emperor, and the fate of the galaxy rests on one woman's shoulders.Harrowhark Nonagesimus, last necromancer of the Ninth House, has been drafted by her Emperor to fight an unwinnable war. Side-by-side with a detested rival, Harrow must perfect her skills and become an angel of undeath — but her health is failing, her sword makes her nauseous, and even her mind is threatening to betray her.Sealed in the gothic gloom of the Emperor's Mithraeum with three unfriendly teachers, hunted by the mad ghost of a murdered planet, Harrow must confront two unwelcome questions: is somebody trying to kill her? And if they succeeded, would the universe be better off?","['Fantasy', 'Science Fiction', 'Fiction', 'LGBT', 'Queer', 'Horror', 'Lesbian', 'Audiobook', 'Adult', 'Mystery']",4.30,"60,018 ratings","10,526 reviews","31,039","19,073","7,158","2,094",654
Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,"In her new masterpiece, the author of the bestselling phenomenon Quiet reveals the power of a bittersweet outlook on life, and why we’ve been so blind to its value.With Quiet, Susan Cain urged our society to cultivate space for the undervalued, indispensable introverts among us, thereby revealing an untapped power hidden in plain sight. Now she employs the same mix of research, storytelling, and memoir to explore why we experience sorrow and longing, and the surprising lessons these states of mind teach us about creativity, compassion, leadership, spirituality, mortality, and love.Bittersweetness is a tendency to states of longing, poignancy, and sorrow; an acute awareness of passing time; and a curiously piercing joy when beholding beauty. It recognizes that light and dark, birth and death—bitter and sweet—are forever paired. A song in a minor key, an elegiac poem, or even a touching television commercial all can bring us to this sublime, even holy, state of mind—and, ultimately, to greater kinship with our fellow humans.But bittersweetness is not, as we tend to think, just a momentary feeling or event. It’s also a way of being, a storied heritage. Our artistic and spiritual traditions—amplified by recent scientific and management research—teach us its power.Cain shows how a bittersweet state of mind is the quiet force that helps us transcend our personal and collective pain. If we don’t acknowledge our own sorrows and longings, she says, we can end up inflicting them on others via abuse, domination, or neglect. But if we realize that all humans know—or will know—loss and suffering, we can turn toward each other. And we can learn to transform our own pain into creativity, transcendence, and connection.At a time of profound discord and personal anxiety, brings us together in deep and unexpected ways.","['Nonfiction', 'Psychology', 'Self Help', 'Audiobook', 'Mental Health', 'Personal Development', 'Philosophy', 'Science', 'Health', 'Spirituality']",3.99,"19,194 ratings","2,419 reviews","6,384","7,556","4,119",889,246
Playing Nice,J.P. Delaney,"What if you found out that your family isn't yours at all? How far would you go to protect them? A gripping new psychological thriller from the bestselling author of The Girl Before. . . .Pete Riley answers the door one morning and lets in a parent's worst nightmare. On his doorstep is Miles Lambert, a stranger who breaks the devastating news that Pete's son, Theo, isn't actually his son--he is the Lamberts', switched at birth by an understaffed hospital while their real son was sent home with Miles and his wife, Lucy. For Pete, his partner Maddie, and the little boy they've been raising for the past two years, life will never be the same again.The two families, reeling from the shock, take comfort in shared good intentions, eagerly entwining their very different lives in the hope of becoming one unconventional modern family. But a plan to sue the hospital triggers an official investigation that unearths some disturbing questions about the night their children were switched. How much can they trust the other parents--or even each other? What secrets are hidden behind the Lamberts' glossy front door? Stretched to the breaking point, Pete and Maddie discover they will each stop at nothing to keep their family safe.They are done playing nice.","['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult', 'Psychological Thriller', 'Contemporary', 'Crime']",4.08,"44,239 ratings","4,479 reviews","14,651","20,283","7,674","1,302",329
Addicted to You,Krista Ritchie,"Librarian's Note: This is an alternate cover for ASIN B00DE5EBZ8She’s addicted to sex. He’s addicted to booze…the only way out is rock bottom.No one would suspect shy Lily Calloway’s biggest secret. While everyone is dancing at college bars, Lily stays in the bathroom. To get laid. Her compulsion leads her to one-night stands, steamy hookups and events she shamefully regrets. The only person who knows her secret happens to have one of his own.Loren Hale’s best friend is his bottle of bourbon. Lily comes at a close second. For three years, they’ve pretended to be in a real relationship, hiding their addictions from their families. They’ve mastered the art of concealing flasks and random guys that filter in and out of their apartment.But as they sink beneath the weight of their addictions, they cling harder to their destructive relationship and wonder if a life together, for real, is better than a lie. Strangers and family begin to infiltrate their guarded lives, and with new challenges, they realize they may not just be addicted to alcohol and sex.Their real vice may be each other.","['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'College', 'Fiction', 'Adult', 'Dark', 'Mental Health', 'Abuse']",3.78,"135,455 ratings","16,373 reviews","36,599","50,175","34,888","10,041","3,752"
The Kabbalistic Murder Code,Nathan Erez,"The Kabbalistic Murder Code is an original and innovative Israeli thriller that was written for all those having an interest in Kabbalah. It incorporates two seemingly unconnected elements: a string of strange murders and the deciphering of ancient Kabbalistic texts, along with their hidden and mystical meanings.A professor from Jerusalem, an expert in decoding ancient Hebrew manuscripts, is hired to carry out a mysterious task, one that sends him to three continents. He becomes entangled in a web of murders that leave him deeply puzzled. However, he quickly discovers that if he does not succeed in deciphering the enigmatic manuscripts, through his in-depth knowledge of Kabbalah, the lives of many people - including his own family - will be endangered.",[],3.64,414 ratings,57 reviews,122,110,107,62,13
Bloody Jack,L.A. Meyer,"Being an Account of the Curious Adventures of Mary ""Jacky"" Faber, Ship's BoyLife as a ship's boy aboard HMS Dolphin is a dream come true for Jacky Faber. Gone are the days of scavenging for food and fighting for survival on the streets of eighteenth-century London. Instead, Jacky is becoming a skilled and respected sailor as the crew pursues pirates on the high seas.There's only one problem: Jacky is a girl. And she will have to use every bit of her spirit, wit, and courage to keep the crew from discovering her secret. This could be the adventure of her life--if only she doesn't get caught. . . .","['Historical Fiction', 'Young Adult', 'Adventure', 'Pirates', 'Fiction', 'Historical', 'Audiobook', 'Teen', 'Romance', 'Fantasy']",4.11,"26,410 ratings","2,560 reviews","11,345","9,005","4,384","1,060",616
The Light within Islam,Darussalam,"The religion of Islam in recent events has been misinterpreted. This book was created for those interested in the truth and not the myth. The Light within Islam is a simple book aimed to address the basic questions commonly misunderstood in Islam. The content of the book focuses on the Unity of God, the structure of the Islamic faith and the distinction between Islam and Christianity. By shedding light and insight into these issues, The Light within Islam hopes to bring closure and enlightenment to the topics responsible for the recent misconceptions is Islam.",[],4.68,37 ratings,1 review,31,3,1,1,1
LOVING OUR PARENTS,Abdul Malik Mujahid,"Loving our Parents is a wonderful collection of stories from the lives of ordinary people on the rewards of treating our parents with honor and respect. It also has detailed and authentic accounts from both the Noble Qur’an and the Prophet’s Sunnah on our duties and obligations to those who have sacrificed so much to raise and educate us. In addition, it provides clear warnings of the penalties from Allah Almighty in this world and the Hereafter for abusing and disrespecting our parents. This is an essential publication for those who want to know the Divine Injunctions on not only how to treat their mothers and fathers, but also their grandparents, close relatives and elders.",[],4.47,136 ratings,4 reviews,97,21,9,3,6
Empire of Sand,Tasha Suri,"A nobleman’s daughter with magic in her blood. An empire built on the dreams of enslaved gods. Empire of Sand is Tasha Suri’s captivating, Mughal India-inspired debut fantasy.The Amrithi are outcasts; nomads descended of desert spirits, they are coveted and persecuted throughout the Empire for the power in their blood. Mehr is the illegitimate daughter of an imperial governor and an exiled Amrithi mother she can barely remember, but whose face and magic she has inherited.When Mehr’s power comes to the attention of the Emperor’s most feared mystics, she must use every ounce of will, subtlety, and power she possesses to resist their cruel agenda.Should she fail, the gods themselves may awaken seeking vengeance…Empire of Sand is a lush, dazzling fantasy novel perfect for readers of and","['Fantasy', 'Romance', 'Fiction', 'Adult', 'Young Adult', 'High Fantasy', 'Magic', 'Fantasy Romance', 'Young Adult Fantasy', 'Science Fiction Fantasy']",3.82,"11,206 ratings","2,099 reviews","2,846","4,632","2,816",719,193
Fragments,Dan Wells,"Author Dan Wells is back with the sequel to the sci-fi blockbuster Partials, which Pittacus Lore called a ""thrilling sci-fi adrenaline rush, with one of the most compelling and frightening visions of Earth's future I've seen yet.""After discovering the cure for RM, Kira Walker sets off on a terrifying journey into the ruins of postapocalyptic America and the darkest desires of her heart in order to uncover the means—and a reason—for humanity's survival.Dan Wells extends his richly imagined, gritty world and introduces new memorable characters in this second installment in the Partials Sequence.","['Young Adult', 'Dystopia', 'Science Fiction', 'Post Apocalyptic', 'Fiction', 'Fantasy', 'Romance', 'Adventure', 'Apocalyptic', 'Audiobook']",4.10,"26,576 ratings","1,967 reviews","10,058","10,570","4,828",845,275
The Secret,Julie Garwood,"Judith Hampton was as beautiful as she was proud, as purposeful as she was loyal. The dear Scottish friend of her childhood was about to give birth, and Judith had promised to be at her side. But there was another, private reason for the journey from her bleak English home to the Highlands to meet the father she had never known, the Laird Maclean. Nothing prepared her for the sight of the Scottish barbarian who was to escort her into his land...Iain Maitland, Laird of his clan, a man more powerfully compelling than any she had ever encountered.In a spirited clash of wills and customs, Judith revelled in the melting bliss of Iain's searching kisses, his passionate caresses. Perplexed by her sprightly defiance, bemused by her tender nature, Iain felt his soul growing into the light and warmth of her love. Surely nothing would wrench her from the affection and trust of Iain and his clan...not even the truth about her father, a devastating secret that could shatter the boldest alliance, and the most glorious of loves.","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Medieval', 'Scotland', 'Adult', 'Fiction', 'Medieval Romance', 'Humor']",4.25,"52,344 ratings","2,414 reviews","25,499","17,138","7,659","1,504",544
